"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","598.160973461569","629.301934362907","611.93428653754","609.474578006799","579.811501752978","557.921711983876","535.252462233314","572.356931759296","563.095743153237","555.660592185778","540.50294482787","514.415934308796","510.121370563352","498.126082195737","512.068237838716","503.575226712691","502.598458910769","510.150590275644","508.213295047256","528.686621968086","525.10025781515","511.237051723732","512.27056633471","502.782507593994","490.614188847587","493.841366728907","494.1744842075","483.20271558976","496.301769424057","497.963029591388","506.478433077974","515.403456402902","539.446103815769","539.758607730334","509.923439711913","542.108669179197","561.550105512918","589.420121739212","620.638746306488","639.228247148886","630.491631322447","629.569632444007","","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","785.161525934329","865.59248120703","762.725361728214","776.934748974948","826.952081040206","890.953359858712","923.728867504315","1010.81922139014","864.199459705589","1149.53609603604","989.200148492914","966.683283781289","1000.12201296783","1018.26314225619","916.555190602146","963.927169506077","921.893044018284","927.744518727469","896.437762376845","813.255695500012","572.781843950789","418.286629757142","412.378880465233","441.249295409311","417.034843013203","447.848870261137","384.594958328053","417.521327907995","561.801132149031","570.845447449958","582.591572437245","645.08015378514","648.168387059418","715.414483080102","719.584378082987","689.300452089809","679.861765101008","697.00411968321","722.583867090188","724.562919388497","770.340266732765","715.256289542901","","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","410.003086504118","412.571505503057","443.055398407658","460.061898885542","484.556287912199","525.493843217979","561.888127956066","627.609992154792","729.124994532044","791.286855722612","883.74003345706","954.795092552664","999.468860383549","990.687110795733","1011.72743851919","1033.78443151871","1087.39746877901","1149.04754135961","1175.71146735577","1077.85990544619","1093.6505654389","1149.07213165724","1180.72974963597","1212.26122501707","1268.89503307492","1295.36045075001","1302.96659138543","1301.23644210879","1285.48092129026","1295.75367169083","1337.19721935587","1395.469588023","1392.60769055482","1434.84067148349","1482.94367698549","1534.62095378065","1574.79086946811","1668.65991089863","1715.09748902059","1786.12635324669","1747.42922346706","1843.49877180028","","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","3677.7147841256","3243.46975489788","3408.71368752661","2967.59361696478","3646.7506799808","3956.03736671109","5682.19088634002","5765.45273473098","6005.86323995501","7112.66742657523","8115.41860456606","8344.4496524316","7645.78242243005","9433.46445068962","10157.7790234688","10893.911284347","11389.1326545055","10994.9228702575","11965.7721989794","11274.9326785385","12276.8162074859","11073.1986009012","11050.3204388628","11640.055917912","11779.7699081607","12674.1421049176","11897.2665130509","11727.9452916668","11306.781666105","11128.8214789674","11613.067670645","11958.4774576761","11094.9697142532","10652.9431367889","9696.48320294442","8926.97420645472","8374.44368646112","8431.66923231435","7780.35547172427","7414.65856161263","7324.99259850514","7536.24076826448","","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","1381.20136702765","1379.94693932724","1412.01269738125","1415.63800900037","1379.07137287698","1404.47075257676","1421.37837928637","1426.08039184475","1485.01683069931","1487.93617593807","1430.67681646236","1416.59821282266","1419.0473729881","1448.12384865205","1360.40027403534","1421.95608408554","1477.06487736427","1505.28767972464","1441.482354752","1407.70180270299","1430.62289720527","1484.35566278432","1469.09575446121","1542.94508085713","1545.55028690248","1582.90724962163","1614.29802702548","1650.91856651496","1660.51545328983","1661.6610968919","1563.00498498394","1502.40213349138","1589.54109916672","1717.98382071337","1710.87625392156","1841.98580592157","1840.66028381405","1924.25977901959","1852.37503376644","1910.00894527614","1918.74994718599","1906.05478189165","","","",
"Armenia","ARM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2174.534057232","2313.52237755388","1197.44907735823","650.666696738823","419.020633488179","510.248441520204","561.23903983866","593.38543598844","609.159198421566","592.620773024934","654.920616963439","655.464510875035","615.761298141373","652.484504778654","692.256265899797","833.292591471009","852.249429660834","954.730353597265","1009.76931653439","879.94705519826","837.953552155967","915.064569081235","997.415337877925","","","",
"American Samoa","ASM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
